,sentence,verdict,deka,y
41,แม่มึงไม่ต้องไปฟัง กูจะเอาอย่างนี้ ถ้าเซ็นไม่ได้ก็ไม่เป็นไร คุณเป็นหัวหน้าคนได้อย่างไร ทำงานไม่รับผิดชอบ ตัดสินปัญหาไม่ได้ พอมีปัญหาก็โยนกันไปมา,ไม่ผิด (เข้า 393 แทน),6624/2537,0
42,อีคนนี้หน้าแย่งผัวฉัน เอาผัวฉันไปกอดนอนด้วยกัน = มีสัมพันธ์ทางประเวณี,ผิด,3725/2538,1
43,ไปปลูกบ้านอยู่ด้วยกัน ไปกกนอนกันที่โรงแรม =มีสัมพันธ์ทางประเวณี,ผิด,3725/2538,1
44,ทนายโจร,ไม่ผิด,507/2539,0
45,เดินหากินจุ้นจ้านที่ศาลสำนักงานร้างไปแล้ว = ไปยุ่งเกี่ยวสถานที่/เรื่องที่ไม่ใช่หน้าที่จนน่าเกลียด,ผิด,507/2539,1
46,มึงเป็นเมียน้อยสารวัตร ศ. อย่ามาทำใหญ่ให้กูเห็นนะ,ผิด,97/2541,1
47,มีปัญหาครอบครัว ทะเลาะเบาะแว้งกัน มีปัญหากับพนักงานในสาขาถึงได้ถูกย้ายไปสำนักงานใหญ่คงอยู่ได้ไม่นานต้องถูกไล่ออก,ผิด,4301/2541,1
48,ท่านครับอย่าปล่อยให้คนชั่วลอยนวล,ไม่ผิด,2777/2545,0
49,นอนกอดจูบรักใคร่กับชาย ได้เสียกัน,ผิด,380/2503,1
50,เจ้าชู้,ไม่ผิด,3015/2543,0
51,นอนกอดจูบรักใคร่กับชาย ได้เสียกันหรือไม่,ไม่ผิด,2155/2531,0
52,เสือกโง่เอง,ไม่ผิด,576/2550,0
53,เหมือนหมาหยอกไก่,ไม่ผิด,3015//2553,0
54,เป็นบุคคลวิกลจริต เป็นคนบ้า,ไม่ผิด,10189/2546,0
55,เหมือนหมาบ้า,ไม่ผิด,10189/2546,0
56,ผีปอบ,ไม่ผิด,200/2511,0
57,ชาติหมา,ไม่ผิด,200/2511,0
58,มีความสัมพันธ์ทางชู้สาวหรือไม่,ไม่ผิด,2180/2531,0
59,ทนายความรับเงินเขามาแล้วไม่เอามาให้ตัวความ,ผิด,กรณีไม่เข้าข้อยกเว้น 329,1
60,พาตำรวจมาจับ ตำรวจเรียกร้องเงินทองหรือผลประโยชน์อย่างอื่นเพื่อตอบแทน,ผิด,1034/2533,1
61,เลี้ยงโจร ลูกน้องเป็นโจร ตั้งตัวเป็นหัวหน้าโจร,ผิด,858/2523,1
62,ซ่องโจร,ผิด,858/2523,1
63,คำโฆษณาของพวกและพรรคประชาธิปัตย์เป็นการหลอกลวงราษฎรให้หลงเชื่อ,ไม่ผิด,56/2490,0
64,ระวังทนายสกปรกจะเอาเรื่อง,ไม่ผิด,3954/2539,0
65,เบี้ยวค่าเฟอร์นิเจอร์ ,ผิด,1068/2537,1
66,ไอ้เหี้ย ไอ้สัตว์เดรัจฉาน,ไม่ผิด,863/2497,0
67,อ้ายครูกำจร ครูชาติหมา ,ไม่ผิด,324/2490,0
68,ส.ส. ขบสนการปลาทู,ไม่ผิด,426-427/2520,0
69,ทนายความเมืองร้อยเอ็ด คบไม่ได้ ,ไม่ผิด,295/2505,0
70,นกสองหัว,ผิด,295/2505,1
71,เหยียมเรือสองแคม,ผิด,295/2505,1
72,พระวัดนี้เลวมาก,ผิด ,295/2505,1
73,ภิกษุเป็นจิ้งเหลืองคือสัตว์ห่อผ้าเหลือง,ไม่ผิด,834/2510,0
74,คดีไม่น่าแพ้เลย เจ้าเมืองอย่างนี้ราษฎรได้รับความเดือดร้อน,ผิด,140/2505,1
75,จับเป็นอันธพาลทั้งพ่อลูก,ไม่ผิด,1201/2505,0
76,เป็นบุคคลวิกลจริต,ไม่ผิด,530/2515,0
77,ขอขอบคุณอาจารย์ที่ช่วยรายงานเท็จ,ผิด,1651/2514,1
78,คำราม,ไม่ผิด,1752/2514,0
79,ผู้ว่าการเขต 10,ไม่ผิด,1752/2514,0
80,นายทุนหน้าด้าน น่าอับอายจริงๆ อ้างมั่วๆ รู้ไม่จริงหรือแกล้งโง่,ไม่ผิด,5276/2562,0
81,อีเฒ่าหัวหงอก,ไม่ผิด,8752/2558,0
82,มึง,ไม่ผิด,8752/2558,0
83,อีเฒ่าหัวหงอก มึงเข้าวัดเข้าได้แต่ตีน บ่ ,ไม่ผิด,8752/2558,0
84,สัมพันธ์ชู้สาวและเคยมีเพศสัมพันธ์กันมาก่อน ,ผิด,5172/2557,1
1,ด้อมนั้นคือเกินเยียวยามานานละนะ  ,ไม่ผิด,ไม่ระบุ,0
2,ทำอะไรปัญญาอ่อนตั้งแต่ซื้ออิหนมปัง,ไม่ผิด,ไม่ระบุ,0
3,ส่องเจอว่าเตงน่าสมเพช ,ไม่ผิด,ไม่ระบุ,0
4,ที่เรียนยังไม่รู้จะมีมั้ย,ไม่ผิด,ไม่ระบุ,0
5,มีปัญหาก็ไม่กล้าเล่าให้ฟังเป็นเส้า,ไม่ผิด,ไม่ระบุ,0
6,แต่ยังมาขำกับคนที่โดนโชเชียลบูลลี่,ไม่ผิด,ไม่ระบุ,0
7,ทั้งที่ไม่ได้ทำอะไรผิด ไม่รู้มีอะไรให้ขำ,ไม่ผิด,ไม่ระบุ,0
8,เราโพสเฟสบุ๊คส่วนตัว ,ไม่ผิด,ไม่ระบุ,0
9,ไม่ได้เอ่ยชื่อ ผิดหมิ่นประมาทไหมคะ,ไม่ผิด,ไม่ระบุ,0
10,ตอนนี้ถูกแจ้งข้อหาหมิ่นประมาทโดยการโฆษณา ,ผิด,ไม่ระบุ,1
11,คู่กรณีไปแจ้งความแล้ว แต่ยังไม่ได้รับหนังสือเดินทางไปรับทราบข้อกล่าวหาจากตำรวจ และได้ทำการขอโทษคู่กรณีแล้ว,ไม่ผิด,ไม่ระบุ,0
12,"แต่คู่กรณีไม่ยอม ยื่นข้อเสนอ 10,000 ให้คู่กรณีแล้วแต่ก็ยังไม่ยอม",ไม่ผิด,ไม่ระบุ,0
13,ม้าดีดรึ โพสด่าเขาไปทั่ว,ไม่ผิด,ไม่ระบุ,0
14,กูปล่อยให้เขาอยู่แบบอดๆยากๆไม่ได้,ไม่ผิด,ไม่ระบุ,0
15,อย่าลำบากบนหัวคนอื่นเลย ,ไม่ผิด,ไม่ระบุ,0
16,อย่าหายืมแต่ของคนอื่นใช้ เขาจะด่าตามหลังเอาน๊า,ไม่ผิด,ไม่ระบุ,0
17,ถ้ามีคนพูดเรื่องไม่ดีของเราให้คนอื่นฟัง เรื่องที่เค้าพูดคือเรื่องจิง ทำให้เราอับอายมากเราฟ้องเค้าได้มั้ย มี่เอาเรื่องเรามาพูด,ผิด,ไม่ระบุ,1
18,กรรมการ​ เจ้าอาวาส​ เจอกูแน่ปล่อยไว้แล้วได้ใจ เพราะมีการตัดไม้พยุงแต่ไม่แจ้งเตือนให้คนในชุมชนได้​รับรู้​,ไม่ผิด,ไม่ระบุ,0
19,แม่ค้าใจแคบมาก,ไม่ผิด,ไม่ระบุ,0
20,ไม่สามารถเอาอาหารร้านอื่นมานั่งทานไปด้วยได้นะคะ,ไม่ผิด,ไม่ระบุ,0
21,เอาเวลาที่เหลือ อยู่กับผัวที่แสนดีของมึงดีกว่าไหม,ไม่ผิด,ไม่ระบุ,0
22,มึงมันแพ้ตั้งแต่เริ่มต้น ,ไม่ผิด,ไม่ระบุ,0
23,กูสงสารผัวมึงจริงๆ มีเมียแบบมึง,ไม่ผิด,ไม่ระบุ,0
24,เอาเวลาไปสร้างตัวจะดีกว่ามาก,ไม่ผิด,ไม่ระบุ,0
25,มึงทำให้ตายก็คงมาเป็นตัวกูไม่ได้หรอก,ไม่ผิด,ไม่ระบุ,0
26,ดูถูก ,ไม่ผิด,ไม่ระบุ,0
27,รู้ตัวว่าแพ้ทำไมยังไม่หยุด,ไม่ผิด,ไม่ระบุ,0
28,ไม่มีวันชนะหรอกจำไว้ ,ไม่ผิด,ไม่ระบุ,0
29,ตบไปก็ตายเปล่า,ไม่ผิด,ไม่ระบุ,0
30,มัน ด่ากันไป ด่ากันมา ,ไม่ผิด,ไม่ระบุ,0
31,แต่ก็ได้แค่ด่า ทักแชทไปก็เสียเปล่า,ไม่ผิด,ไม่ระบุ,0
32,ตอบกูนี่เลนใต้คอมเม้น,ไม่ผิด,ไม่ระบุ,0
33,เก่งให้ตลอดนะครับ,ไม่ผิด,ไม่ระบุ,0
34,พวกสัมเวสีบังอาจจะขับรถชนเมียกู,ไม่ผิด,ไม่ระบุ,0
35,ไปจ่ายค่างวดรถที่ค้างก่อนเค้าจะมายึดมั้ย,ไม่ผิด,ไม่ระบุ,0
36,อายหมานะ,ไม่ผิด,ไม่ระบุ,0
37,กูมีประกันภัยชั้นหนึ่ง,ไม่ผิด,ไม่ระบุ,0
38,กูก็อยากเจอเหมือนกัน,ไม่ผิด,ไม่ระบุ,0
39,อีเด็กเมื่อวานซืน,ไม่ผิด,ไม่ระบุ,0
40,ที่กี่ผัวก็ถูกทิ้ง,ไม่ผิด,ไม่ระบุ,0
41,จัญไรจริงพวกมึง,ผิด,ไม่ระบุ,1
42,เมียกูใครอย่าเตะ,ไม่ผิด,ไม่ระบุ,0
43,จำให้ขึ้นสมองนะมึง,ไม่ผิด,ไม่ระบุ,0
44,อีสสามตัว,ไม่ผิด,ไม่ระบุ,0
45,อิชาติชั่ว,ผิด,ไม่ระบุ,1
46,เก่งแต่ปาก,ไม่ผิด,ไม่ระบุ,0
47,ผัวทิ้งท้องตั้งแต่เรียนไม่จบ,ผิด,ไม่ระบุ,1
48,อายหมานะ,ไม่ผิด,ไม่ระบุ,0
49,คนที่ไม่มีที่ซุกหัวนอนคือพวกมึง,ไม่ผิด,ไม่ระบุ,0
50,คนเค้าลือทั้งหมู่บ้านยังด้านอีก,ไม่ผิด,ไม่ระบุ,0
51,กูล่ะเชื่อเลย,ไม่ผิด,ไม่ระบุ,0
52,อิใจหมา,ไม่ผิด,ไม่ระบุ,0
53,ทีนี้กูไม่ปล่อยมึงแน่,ไม่ผิด,ไม่ระบุ,0
54,สามัญสำนึกก็หาไม่มี,ไม่ผิด,ไม่ระบุ,0
55,เดียวจะแวะมาเล่าเรื่องนางเอก ก. อดีตดาวยั่วเขาค้อ,ไม่ผิด,ไม่ระบุ,0
56,นางเอก ก. หลอนยาหนัก,ผิด,ไม่ระบุ,1
57,ปั่นประสาทชาวประชา,ผิด,ไม่ระบุ,1
58,ความบ้ายืน1,ผิด,ไม่ระบุ,1
59,เพราะเธอพึ่งแต่สิ่งเสพติด,ผิด,ไม่ระบุ,1
60,อย่าให้แม่ต้องร้าย1,ไม่ผิด,ไม่ระบุ,0
61,ไม่มีใครไอคิวต่ำกว่ามึงแล้วค่ะ,ผิด,ไม่ระบุ,1
62,เพราะฉะนั้นถ้ามีใครสักคนที่โง่ ก็ไม่โง่เท่ามึง,ไม่ผิด,ไม่ระบุ,0
63,อ่ออาจมีแม่มึงนะคะที่โง่กว่า,ไม่ผิด,ไม่ระบุ,0
64,ถึงตกลูกออกเป็นตัวเหี้ย,ไม่ผิด,ไม่ระบุ,0
65,จำไว้เลยนะถ้าขึ้นชื่อว่าหมอดูถ้ามันทักว่าดวงไม่ดีจะเป็นนั่นเป็นนี่,ไม่ผิด,ไม่ระบุ,0
66,แล้วชวนให้ทำอะไรกับมันจะเสริมดวงแก้เคล็ดแก้ดวงอะไรก็ ช่าง.,ไม่ผิด,ไม่ระบุ,0
67,ถ้าเรียกเงินเท่านั้นเท่านี้คือหมอดูเหี้ย!,ไม่ผิด,ไม่ระบุ,0
68,มีสิ่งดีๆอยู่กับตัว แทนที่จะช่วยคนคิดค่าครู100oนึ่งใครทุกข์ใจแต่ถ้าจนดูไม่ได้นะ,ไม่ผิด,ไม่ระบุ,0
69,ราคานี้!!,ไม่ผิด,ไม่ระบุ,0
70,เสือกโลภหาแดกในทางที่ผิดๆ,ผิด,ไม่ระบุ,1
71,มีอย่างที่ไหนทักให้ทีมงานกูไปแก้คิ้วกันหมดแทบทุกคน,ไม่ผิด,ไม่ระบุ,0
72,อิดอกตลกสิ้นดี,ไม่ผิด,ไม่ระบุ,0
73,พอมาคุยกันเอง! ที่ไหนได้,ไม่ผิด,ไม่ระบุ,0
74,ทำคิ้วมันบวกเอาเองหัวละ1400,ผิด,ไม่ระบุ,1
75,แค่นี้ก็พอแล้วความจริง,ไม่ผิด,ไม่ระบุ,0
76,แม้แต่ลูกค้าตัวเองยังจะหลอก เค้าหมด!,ผิด,ไม่ระบุ,1
77,ใจไม่มีให้ใครเลยจะเอาแต่เงิน!,ผิด,ไม่ระบุ,1
78,ดีนะได้แค่เพื่อนกับน้องกู2คน,ไม่ผิด,ไม่ระบุ,0
79,นอกนั้นเค้าไม่มีเงินไปทำกัน,ไม่ผิด,ไม่ระบุ,0
80,จันไรจริงๆ,ผิด,ไม่ระบุ,1
81,หมอดูหัวKวยพันนี้,ไม่ผิด,ไม่ระบุ,0
82,มึงเลิกเหอะอาชีพนี้ไม่รุ่ง หรอก,ผิด,ไม่ระบุ,1
83,แหมทำมาแบ่งให้กู200ถ้ากูรู้ว่าถึงชั่วแบบนี้กูจะไม่แนะนำใครแม้แต่คนเดียวจริงๆ,ผิด,ไม่ระบุ,1
84,ถ้ามันจะไม่ดูนั่นนี้,ไม่ผิด,ไม่ระบุ,0
85,ในประเทศไม่ได้มีมันดูคน เดียว,ไม่ผิด,ไม่ระบุ,0
86,และหนูก็ไม่ง้อมันด้วยค่ะ,ไม่ผิด,ไม่ระบุ,0
87,เพราะอะไรที่ ง่ายๆทำเหมือนปัญญาอ่อน,ไม่ผิด,ไม่ระบุ,0
88,ไม่รู้ อวยตัวก็อวย เกิน,ไม่ผิด,ไม่ระบุ,0
89,#ถ้ามีปากไว้พูดเกี่ยวกับการดูดวงตอบ คำถามไม่ได้ ก็บอกมัน,ไม่ผิด,ไม่ระบุ,0
90,หมอดูเหี้ย,ไม่ผิด,ไม่ระบุ,0
91,จัญไร,ผิด,ไม่ระบุ,1
92,ปัญญาอ่อน,ไม่ผิด,ไม่ระบุ,0
93,เอาปากอมควยผัวไว้ อมแม่งทั้งวัน!,ไม่ผิด,ไม่ระบุ,0
94,อย่าเสือกแหกหีมาถามดูดวงคนอื่นเขา,ไม่ผิด,ไม่ระบุ,0
95,อิช้างน้ำ,ไม่ผิด,ไม่ระบุ,0
96,หลอกแดก,ผิด,ไม่ระบุ,1
97,ด่ายังไงก็ไม่สำนึก,ไม่ผิด,ไม่ระบุ,0
98,ลูกกะหรี่,ผิด,ไม่ระบุ,1
99,ไม่มีเครดิต,ผิด,ไม่ระบุ,1
100,ไม่มีน้ำใจ,ไม่ผิด,ไม่ระบุ,0
101,คนเอาเปรียบ,ผิด,ไม่ระบุ,1
102,คนเห็นแก่ตัว,ไม่ผิด,ไม่ระบุ,0
103,ต่ำตม,ไม่ผิด,ไม่ระบุ,0
104,โรคจิต,ไม่ผิด,ไม่ระบุ,0
105,นมมันยานก็ต้องปล่อยมันไปนะค่ะ,ไม่ผิด,ไม่ระบุ,0
106,เก็บเงินไว้ใช้ตอนแก่นะคะ ,ไม่ผิด,ไม่ระบุ,0
107,ตอนที่ติดเอดส์อะค่ะ,ไม่ผิด,ไม่ระบุ,0
108,แม่เสือสาวแซ่บจริงๆคะ,ไม่ผิด,ไม่ระบุ,0
109,เห็นแล้วอยากเอาปืนยิงหี เผื่อจะเลิกสำส่อน,ผิด,ไม่ระบุ,1
110,พอดีนู๋โดนเพื่อนที่ทำงานถ่ายคลิป แล้วมีคำพูดที่ทำให้นู๋เสื่อมเสียชื่อเสียง และเบรนกล้องไปที่รูปของนู๋ และสงลงในไลน์กลุ่ม ที่มีคนอยู่ในกลุ่มจำนวน 28 คนและ 28 คนนั้น มีบางคนอยู่ต่างสาขาค่ะ,ผิด,ไม่ระบุ,1
111,เคยเป็นโจรปล้นชิงมาก่อน,ผิด,ไม่ระบุ,1
112,โจรลักขโมย,ผิด,ไม่ระบุ,1
113,เนื่องจากมีบุคคลกล่าวหาให้เสียหาย ทั้งในเรื่องส่วนตัวและคุดคุ้ยเรื่องอดีตทั้งจริงบ้าง ไม่จริงบ้าง พูดเกินบ้างงงง แล้วไปพูดต่อๆกัน จนทำให้เกิดความอับอายในที่ทำงาน อีกทั้งทำให้เพื่อนร่วมงานที่ไม่รู้จักแต่อยู่ในองค์กรเดียวกัน มองเราไปในทางที่ไม่ดี แย่และเสียหาย สามารถทำอะไรได้บ้าง,ผิด,ไม่ระบุ,1
114,คลื่นใต้น้ำ,ไม่ผิด,ไม่ระบุ,0
115,กะหรี่ยกครัว,ผิด,ไม่ระบุ,1
116,เมื่อวันที่ 20 กุมภาที่ผ่านมา พี่สาวเราได้ไปม็อบที่หน้ารัฐสภาเกียกกาย และได้ให้สัมภาษณ์กับสื่อของประชาไท ต่อมาทางประชาไทได้ลงสัมภาษณ์ดังกล่าวในเพจของประชาไท ตามนี้ลิงก์นี้ค่ะ และมีคอมเมนท์บางส่วนที่ทำให้รู้สึกไม่สบายใจ ในกรณีนี้จะสามารถฟ้องหมิ่นได้ไหมคะ,ผิด,ไม่ระบุ,1
117,โถเด็กน้อยยยยยยยยยยย,ไม่ผิด,ไม่ระบุ,0
118,อีเวร,ไม่ผิด,ไม่ระบุ,0
119,ไม่รู้ตัวว่าโง่...,ไม่ผิด,ไม่ระบุ,0
120,เหยื่อคนชังชาติ,ผิด,ไม่ระบุ,1
121,ขี้แพ้,ไม่ผิด,ไม่ระบุ,0
122,เวลาขึ้นศาลเดก อย่าร้องละ55555,ไม่ผิด,ไม่ระบุ,0
123,ความหวังที่จะเห็นความเปลี่ยนแปลงของสถาบันกษัตริย์,ไม่ผิด,ไม่ระบุ,0
124,คลิปการให้ความรู้เรื่องการบริหารกระดูกคดของไทยกับ ต่างประเทศ(ดูจากคลิปเก่าที่ผมโพสต์) ช่างคนละดวงดาว กันเลย,ไม่ผิด,ไม่ระบุ,0
125,อ่านหนังสือเยอะๆนะลูก,ไม่ผิด,ไม่ระบุ,0
126,บ้างคนคะ แต่สำหรับผญ.ที่ทำลายความรัก ทำลายลูกและครอบครัวคนอื่น เขาไม่ได้เรียกว่า...นะ,ไม่ผิด,ไม่ระบุ,0
127,อย่าให้ได้เติมนามสกุล,ไม่ผิด,ไม่ระบุ,0
128,เขาเรียกดอก(รูปดอกไม้สีทอง),ผิด,ไม่ระบุ,1
129,สมสู่กันดีนัก,ผิด,ไม่ระบุ,1
130,ชอบนักแอบแซ่บเร้าใจดี,- ไม่แน่ใจ,ไม่ระบุ,0
131,หากโพสต์ว่าสถาบันพระมหากษัตริย์มีไว้เพื่ออะไร,,ไม่ระบุ,1
132,ไปตายไหนก็ไป,ไม่ผิด,ไม่ระบุ,0
133,ไปเกิดใหม่ไปสมสู่กันไกลๆ,ผิด,ไม่ระบุ,1
134,รำคาญมากกกกกก,ไม่ผิด,ไม่ระบุ,0
135,กูมันคนต่ำตมคงไม่เหมาะที่จะมาเสียเวลาตอบคำถามส้นตีนของพวกมึงค่ะ,ไม่ผิด,ไม่ระบุ,0
136,ไปตายไกลๆค่ะพวกผู้ดีสัมภเวสี,ไม่ผิด,ไม่ระบุ,0
137,รำคาญเต็มทีแล้ว,ไม่ผิด,ไม่ระบุ,0
138,กูเองก็หมดรักแล้วมีแฟนใหม่แล้วรู้ไว้แค่นี้พอ,ไม่ผิด,ไม่ระบุ,0
139,อย่ามาเสียเวลากับคนอย่างกูเลย,ไม่ผิด,ไม่ระบุ,0
140,ถ้ากูจะแย่งคงไม่หยุดอยู่แค่นี้,ไม่ผิด,ไม่ระบุ,0
141, แล้วคือแย่งไปทำไมควยแท่งเดียวสัส ,ไม่ผิด,ไม่ระบุ,0
142,รูปสุดท้ายคือรูปที่ไปสะกิดโดนต่อมนางค่ะ ,ไม่ผิด,ไม่ระบุ,0
143,คนไรส่งเพื่อนมาส่องแล้วให้เพื่อนเอาไปเม้าส์ผัวตัวเอง,ไม่ผิด,ไม่ระบุ,0
144,เออแล้วเดือดร้อนไรกับเฟสกูอ่ะงงมากค่ะ,ไม่ผิด,ไม่ระบุ,0
145,เมื่อวันอาทิตย์ที่ 21 กุมภาพันธ์ที่ผ่านมาคะ,ไม่ผิด,ไม่ระบุ,0
146,ดิฉันไปงานเลี้ยงญาติมา,ไม่ผิด,ไม่ระบุ,0
147,ทางเจ้าบ่าว และเจ้าสาวได้จัดโต๊ะไว้ให้สำหรับญาติ และแขกมางานแยกกัน,ไม่ผิด,ไม่ระบุ,0
148,ซึ่งอาหารที่บ่าวสาวจัดให้กับญาติได้มี ยำทะเล ข้าวเปล่า ไข่เจียว แกงส้มปลา2ชิ้น ผัดผักน้ำมันหอยเปล่า,ไม่ผิด,ไม่ระบุ,0
149,ญาติที่มารวมกันประมาณ 30 กว่าคน,ไม่ผิด,ไม่ระบุ,0
150,แต่แขกที่มางาน ได้จัดอาหารให้อย่างดีได้แก่ ต้มยำหม้อไฟ ยำปลาดุกฟู และอาหารอื่นอีกหลายอย่าง ,ไม่ผิด,ไม่ระบุ,0
151,ซึ่งนั่นได้หมายถึงว่าบ่าว สาว ได้แบ่งชนชั้นสำหรับญาติและแขกที่มสงานทำให้ดิฉันเกิดความไม่พอใจ,ไม่ผิด,ไม่ระบุ,0
152,ได้ถ่ายรูปอาหาร และรูปบ่าวสาวโพสลงเฟสบุกโดยใช่ถ่อยคำว่า,ไม่ผิด,ไม่ระบุ,0
153,""" ถ้าจะจัดไข่เจียวกับผัดผักมาให้ที่บ้านฉันก็มีกิน",ไม่ผิด,ไม่ระบุ,0
154,อาหารแบบนี้ไม่ต้องเชิญไปกินที่งานเลี้ยงหรอก,ไม่ผิด,ไม่ระบุ,0
155, งานศพแถวบ้านยังเลี้ยงดีกว่างานแต่งเยอะ,ผิด,ไม่ระบุ,1
156,ซึ่งทำให้บ่าวสาวเห็นโพสนั่นทำให้ไม่พอใจเป็นอย่างมาก,ไม่ผิด,ไม่ระบุ,0
157, แล้วจะฟ้องดิฉันข้อหาหมิ่นประมาททำให้เกิดความเสียหาย,ไม่ผิด,ไม่ระบุ,0
158,อย่ามาตอแหล,ผิด,ไม่ระบุ,1
159,คนคนนั้นมันไม่ใช่คน,ไม่ผิด,ไม่ระบุ,0
160,จะทำบุญกรวดน้ำไปให้,ไม่ผิด,ไม่ระบุ,0
161,renovate ห้องโรงแรมใหม่ทั้งทีก็ควรที่จะเลือกโซฟาให้เข้ากับห้องด้วย,ไม่ผิด,ไม่ระบุ,0
162,ทำไมจะโพสต์ถึงไม่ได้ ก็นางสาวแพรวพรรณไปพูดอย่างนั้นกับลูกน้องของตนก่อน,ไม่ผิด,ไม่ระบุ,0
163,5555 อีเด็ก 🌼,ผิด,ไม่ระบุ,1
164,มึงอะอายุเท่ารัยคะ,ไม่ผิด,ไม่ระบุ,0
165,หน้าแก่กว่าแม่กูอีก,ไม่ผิด,ไม่ระบุ,0
166,อีควาย,ไม่ผิด,ไม่ระบุ,0
167,ตีนกาขึ้นหน้าแล้วคะ,ไม่ผิด,ไม่ระบุ,0
168,อีดำ,ไม่ผิด,ไม่ระบุ,0
169,อีข้าวนอกนา,ไม่ผิด,ไม่ระบุ,0
